Capital IQ Company Screening Report > [Financial Ratio Bot] Chemical companies test case,,,,,,,,,,,,,
,,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual],Exchanges [Primary Listing],Exchanges [Secondary Listings]
@Health SA (ENXTPA:MLAHC),ENXTPA:MLAHC,Health Care (Primary),-, 2.76 , 25.7 ,-,-,-,-,-,-,Euronext Paris (ENXTPA),-
01 Communique Laboratory Inc. (TSXV:ONE),TSXV:ONE,Information Technology (Primary),NM, 0.392 , 31.0 , 24.5 , (90.6)  , 6.15 , (27.1)  , 0.524 , 1.66 ,-,"DB:DFK
Company: 01 Communique Laboratory Inc.
(IQT115659859) - Deutsche Boerse AG (DB)"
1&1 AG (XTRA:1U1),XTRA:1U1,Communication Services (Primary); Information Technology, 18.8 , 41.37 , 0.922 , 7.3 , 5.05 , 2.84 , 19.6 , 0.576 , 1.98 ,XETRA Trading Platform (XTRA),"DB:1U1
Company: 1&1 AG
(IQT548540740) - Deutsche Boerse AG (DB)

SWX:DRI
Company: 1&1 AG
(IQT548540911) - SIX Swiss Exchange (SWX)

LSE:0E6Y
Company: 1&1 AG
(IQT548540909) - London Stock Exchange (LSE)"
"1-800-FLOWERS.COM, Inc. (NasdaqGS:FLWS)",NasdaqGS:FLWS,Consumer Discretionary (Primary); Financials, 19.5 , 46.0 , 4.38 , 20.9 , 25.9 , 1.48 , 9.13 , 2.16 , 28.9 ,Nasdaq Global Select (NasdaqGS),"DB:FWC
Company: 1-800-FLOWERS.COM, Inc.
(IQT20181142) - Deutsche Boerse AG (DB)"
"1.0 Tecnocentro, Sicav, S.A. (BME:S4008)",BME:S4008,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
1000mercis (ENXTPA:ALMIL),ENXTPA:ALMIL,Communication Services (Primary),NM, 30.44 , 1.22 , (0.902)  , (15.5)  , 1.5 , (2.93)  , 0.641 , 29.8 ,Euronext Paris (ENXTPA),-
104 Corporation (TWSE:3130),TWSE:3130,Industrials (Primary); Communication Services; Information Technology, 18.5 , 8.08 , 3.54 , 2.71 , 19.1 , 2.22 , 21.1 , 0.624 , 5.03 ,Taiwan Stock Exchange (TWSE),-
10X Capital Venture Acquisition Corp (NasdaqCM:VCVC),NasdaqCM:VCVC,Financials (Primary),-, 13.41 , 50.3 ,-,-, 11.8 ,-,-,-,Nasdaq Capital Market (NasdaqCM),"NasdaqCM:VCVC.U
Company: 10X Capital Venture Acquisition Corp
(IQT689627558) - Nasdaq Capital Market (NasdaqCM)"
"10x Genomics, Inc. (NasdaqGS:TXG)",NasdaqGS:TXG,Health Care (Primary),NM, 270.42 , 27.6 ,-, (91.8)  , 6.19 , (15.3)  , 0.389 , 7.85 ,Nasdaq Global Select (NasdaqGS),"DB:1KJ
Company: 10x Genomics, Inc.
(IQT640803511) - Deutsche Boerse AG (DB)

BMV:TXG *
Company: 10x Genomics, Inc.
(IQT670691232) - Bolsa Mexicana de Valores (BMV)

LSE:0A88
Company: 10x Genomics, Inc.
(IQT670723771) - London Stock Exchange (LSE)"
11 bit studios S.A. (WSE:11B),WSE:11B,Communication Services (Primary), 48.0 , 171.52 , 6.83 , 56.7 , 16.0 , 9.12 , 50.5 , 0.509 , 6.37 ,-,"DB:11C
Company: 11 bit studios S.A.
(IQT659383744) - Deutsche Boerse AG (DB)

LSE:0RE0
Company: 11 bit studios S.A.
(IQT329011386) - London Stock Exchange (LSE)"
"111, Inc. (NasdaqGM:YI)",NasdaqGM:YI,Consumer Staples (Primary); Consumer Discretionary; Health Care; Industrials; Information Technology,NM, 12.31 , 19.9 , 103.5 , (54.6)  , 1.62 , (5.62)  , 3.54 , 19.8 ,Nasdaq Global Market (NasdaqGM),-
11880 Solutions AG (XTRA:TGT),XTRA:TGT,Industrials (Primary); Communication Services; Information Technology,NM, 2.53 , 4.1 , 8.64 , (29.0)  , 0.955 , 2.38 , 1.73 , 41.6 ,XETRA Trading Platform (XTRA),"DB:TGT
Company: 11880 Solutions AG
(IQT20203589) - Deutsche Boerse AG (DB)

LSE:0NXT
Company: 11880 Solutions AG
(IQT38029303) - London Stock Exchange (LSE)"
1300SMILES Limited (ASX:ONT),ASX:ONT,Health Care (Primary), 19.7 , 7.32 , 3.87 , 2.53 , 20.3 , 0.967 , 35.9 , 0.605 , 36.7 ,Australian Securities Exchange (ASX),-
138 Student Living Jamaica Limited (JMSE:138SL),JMSE:138SL,Consumer Discretionary (Primary); Industrials, 10.2 , 0.047 , 0.463 , 11.0 , 4.06 , 0.821 , 44.9 , 0.115 , 50.8 ,The Jamaica Stock Exchange (JMSE),"JMSE:138SLVR
Company: 138 Student Living Jamaica Limited
(IQT280319755) - The Jamaica Stock Exchange (JMSE)"
