Capital IQ Company Screening Report,,,,,,,,,,,,
,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,Company Type,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual]
Amal Ltd (BSE:506597),BSE:506597,Commodity Chemicals (Primary),Public Company, 41.6 , 7.05 , 10.7 , (1.31)  , 29.4 , 3.11 , 37.0 , 0.735 , 13.3 
Amco India Limited (BSE:530133),BSE:530133,Commodity Chemicals (Primary),Public Company, 31.7 , 0.88 , 0.672 , 9.4 ,-,-, 4.22 , 1.76 , 33.0 
AMCO United Holding Limited (SEHK:630),SEHK:630,Commodity Chemicals (Primary),Public Company,NM, 0.02 , 2.12 , (15.1)  , (29.3)  , 3.76 , (59.6)  , 0.265 , 20.5 
"American Fiber Green Products, Inc. (OTCPK:AFBG)",OTCPK:AFBG,Commodity Chemicals (Primary),Public Company,NM, 0.065 ,NM,-,-,-,-,-,-
American Safety Closure,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Amia Co.,Ltd (TPEX:8438)",TPEX:8438,Commodity Chemicals (Primary),Public Company, 37.5 , 2.03 , 2.16 , (2.33)  , 5.95 , 1.19 , 6.56 , 1.19 , 37.1 
Amines & Plasticizers Limited (BSE:506248),BSE:506248,Commodity Chemicals (Primary),Public Company, 18.2 , 1.95 , 4.2 , 10.1 , 26.2 , 1.67 , 12.9 , 1.67 , 33.4 
AMS Polymers Limited (BSE:540066),BSE:540066,Commodity Chemicals (Primary),Public Company, 41.4 ,-, 2.23 , 607.9 ,-,-, 4.37 , 2.58 , 48.6 
An Phat Bioplastics Joint Stock Company (HOSE:AAA),HOSE:AAA,Commodity Chemicals (Primary),Public Company, 15.5 , 1.13 , 1.18 , 20.6 , 8.42 , 1.28 , 8.18 , 0.897 , 46.9 
An Phat Holdings Joint Stock Company (HOSE:APH),HOSE:APH,Commodity Chemicals (Primary),Public Company, 131.2 , 3.86 , 4.31 , 16.1 , 5.73 , 1.17 , 8.93 , 0.831 , 52.0 
An Tien Industries Joint Stock Company (HOSE:HII),HOSE:HII,Commodity Chemicals (Primary),Public Company,-, 1.24 ,-,-,-,-,-,-,-
Analabs Resources Berhad (KLSE:ANALABS),KLSE:ANALABS,Commodity Chemicals (Primary),Public Company, 9.9 , 0.389 , 0.479 , (9.33)  , 5.1 , 1.35 , 14.2 , 0.316 , 17.2 
"Anhui Huaheng Biotechnology Co., Ltd. (SHSE:688639)",SHSE:688639,Commodity Chemicals (Primary),Public Company, 31.9 , 9.99 , 7.92 , 8.4 , 28.2 , 1.62 , 31.5 , 0.747 , 10.1 
"Anhui Huangshan Capsule Co., Ltd. (SZSE:002817)",SZSE:002817,Commodity Chemicals (Primary),Public Company, 50.7 , 2.19 , 2.99 , 3.77 , 6.05 ,-, 24.9 ,-,-
"Anhui Jiangnan Chemical Industry Co., Ltd. (SZSE:002226)",SZSE:002226,Commodity Chemicals (Primary),Public Company, 15.1 , 1.0 , 1.3 , 22.2 , 9.78 , 2.29 , 34.0 , 0.316 , 35.6 
"Anhui Leimingkehua Co.,Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Anhui Shenjian New Materials Co.,Ltd (SZSE:002361)",SZSE:002361,Commodity Chemicals (Primary),Public Company, 41.1 , 1.03 , 2.21 , 3.65 , 5.52 , 1.19 , 10.3 , 0.522 , 35.0 
"Anhui Wanwei Updated High-Tech Material Industry Co.,Ltd (SHSE:600063)",SHSE:600063,Commodity Chemicals (Primary),Public Company, 13.0 , 0.986 , 1.61 , 15.1 , 12.8 , 1.07 , 16.8 , 0.705 , 36.2 
AP Oil International Limited (SGX:5AU),SGX:5AU,Commodity Chemicals (Primary),Public Company, 13.8 , 0.18 , 0.526 , (14.7)  , 3.83 , 5.57 , 3.35 , 0.752 , 17.4 
Apcotex Industries Limited (BSE:523694),BSE:523694,Commodity Chemicals (Primary),Public Company, 35.4 , 5.46 , 5.11 , 0.908 , 15.9 , 1.75 , 12.7 , 1.27 , 4.56 
Applied Graphene Materials plc (AIM:AGM),AIM:AGM,Commodity Chemicals (Primary),Public Company,NM, 0.52 , 3.64 , (2.8)  , (53.9)  , 2.67 ,-, 0.011 , 0.471 
Arak Petrochemical Corporation,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Arakawa Chemical Industries, Ltd. (TSE:4968)",TSE:4968,Commodity Chemicals (Primary),Public Company, 11.1 , 14.88 , 0.423 , (4.4)  , 4.23 , 1.59 , 9.1 , 0.719 , 27.3 
Archit Organosys Limited (BSE:524640),BSE:524640,Commodity Chemicals (Primary),Public Company, 14.0 , 0.846 , 1.73 , 5.24 , 13.4 , 0.995 , 11.6 , 1.11 , 34.9 
Archroma Pakistan Limited (KASE:ARPL),KASE:ARPL,Commodity Chemicals (Primary),Public Company, 13.5 , 5.06 ,-, 5.77 ,-,-, 15.9 , 1.42 , 37.9 
Arla Plast AB (OM:ARPL),OM:ARPL,Commodity Chemicals (Primary),Public Company, 13.7 , 8.37 , 2.76 ,-, 19.8 , 2.03 , 15.6 , 1.45 , 13.5 
"Asahi Kagaku Kogyo Co.,Ltd. (JASDAQ:7928)",JASDAQ:7928,Commodity Chemicals (Primary),Public Company, 15.6 , 14.4 , 0.919 , 1.8 , 6.07 , 2.23 , 7.35 , 1.47 ,-
Asahi Kasei Corporation (TSE:3407),TSE:3407,Commodity Chemicals (Primary),Public Company, 21.2 , 14.89 , 1.15 ,-, 5.71 , 1.62 , 14.5 , 0.737 , 30.8 
Asahi Songwon Colors Limited (BSE:532853),BSE:532853,Commodity Chemicals (Primary),Public Company, 13.1 , 6.23 , 1.81 , (1.05)  , 13.0 , 1.79 , 17.6 , 0.849 , 15.5 
Asahi Yukizai Corporation (TSE:4216),TSE:4216,Commodity Chemicals (Primary),Public Company, 9.18 , 16.32 , 0.549 , 2.2 , 6.21 , 2.54 , 10.5 , 0.802 , 7.47 
Asahipen Corporation (TSE:4623),TSE:4623,Commodity Chemicals (Primary),Public Company, 11.9 , 22.87 , 0.559 , 6.04 , 5.02 , 2.7 , 7.97 , 0.829 , 18.3 
Ashok Alco-Chem Limited (BSE:524594),BSE:524594,Commodity Chemicals (Primary),Public Company, 14.1 , 1.89 , 1.19 , (44.4)  , 8.79 , 2.98 , 18.6 , 0.441 , 7.48 
"Asia Carbon Industries, Inc. (OTCPK:ACRB)",OTCPK:ACRB,Commodity Chemicals (Primary),Public Company, 0.282 , 0.026 , 0.03 ,-,-,-,-,-,-
Asia Mineral Joint Stock Company (HNX:AMC),HNX:AMC,Commodity Chemicals (Primary),Public Company, 9.34 , 1.38 , 1.52 , 3.12 , 16.3 , 1.22 ,-, 1.63 , 23.5 
Asia Plastic Recycling Holding Limited (TWSE:1337),TWSE:1337,Commodity Chemicals (Primary),Public Company,NM, 0.372 , 0.367 , (35.0)  , (20.9)  , 5.06 , (73.1)  , 0.143 , 5.66 
Asia Poly Holdings Berhad (KLSE:ASIAPLY),KLSE:ASIAPLY,Commodity Chemicals (Primary),Public Company, 14.3 , 0.1 , 1.62 , 3.15 , 14.1 , 1.74 , 15.2 , 0.523 , 17.9 
Asia Polymer Corporation (TWSE:1308),TWSE:1308,Commodity Chemicals (Primary),Public Company, 12.3 , 1.54 , 1.42 , 0.228 , 13.2 , 1.58 , 26.0 , 0.337 , 23.8 
"Atlantis Plastics, Inc. (OTCPK:ATPL)",OTCPK:ATPL,Commodity Chemicals (Primary),Public Company,NM,-,NM,-,-,-,-,-,-
AVSL Industries Limited (NSEI:AVSL),NSEI:AVSL,Commodity Chemicals (Primary),Public Company, 3.36 ,-, 0.741 ,-,-, 1.22 , 9.27 ,-, 47.7 
Axel Polymers Limited (BSE:513642),BSE:513642,Commodity Chemicals (Primary),Public Company,NM, 0.31 , 4.58 , (7.82)  ,-,-, 4.52 , 1.48 , 78.9 
"Baoding Lucky Innovative Materials Co.,Ltd (SZSE:300446)",SZSE:300446,Commodity Chemicals (Primary),Public Company,NM, 1.49 , 2.25 , (21.6)  , (5.12)  , 4.73 , (12.6)  , 0.153 , 5.61 
"Baotou Tomorrow Technology Co., Ltd. (SHSE:600091)",SHSE:600091,Commodity Chemicals (Primary),Public Company,NM, 0.563 , 1.47 , (36.7)  , (3.59)  , 16.1 , (217.3)  , 0.016 , 1.18 
Basanite Inc. (OTCPK:BASA),OTCPK:BASA,Commodity Chemicals (Primary),Public Company,NM, 0.309 ,NM, (52.1)  ,NM, 0.279 ,-, 0.003 , 145.3 
Batu Kawan Berhad (KLSE:BKAWAN),KLSE:BKAWAN,Commodity Chemicals (Primary),Public Company, 10.2 , 6.23 , 1.24 , (5.82)  , 13.1 , 2.55 , 17.0 , 0.728 , 35.9 
Bayrak EBT Taban Sanayi ve Ticaret Anonim Sirketi (IBSE:BAYRK),IBSE:BAYRK,Commodity Chemicals (Primary),Public Company, 75.4 , 1.62 , 4.46 ,-, 8.88 , 1.83 , 19.2 , 0.578 , 31.1 
"BBC Co., Ltd. (KOSDAQ:A318410)",KOSDAQ:A318410,Commodity Chemicals (Primary),Public Company, 11.1 , 22.56 , 1.51 ,-, 17.9 , 3.13 , 33.5 , 0.559 , 19.1 
"Befar Group Co.,Ltd (SHSE:601678)",SHSE:601678,Commodity Chemicals (Primary),Public Company, 13.4 , 1.42 , 1.4 , 2.38 , 13.2 , 1.46 , 30.6 , 0.512 , 43.7 
Behran Oil Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Beijing Sanju Environmental Protection & New Materials Co., Ltd. (SZSE:300072)",SZSE:300072,Commodity Chemicals (Primary),Public Company,NM, 1.15 , 1.61 , (29.7)  , (11.5)  , 1.63 , (10.3)  , 0.355 , 23.1 
Benchmark Energy Corporation (OTCPK:BMRK),OTCPK:BMRK,Commodity Chemicals (Primary),Public Company,NM, 0.053 ,NM,-,-,-,-,-,-
Bergen Carbon Solutions AS (OB:BCS),OB:BCS,Commodity Chemicals (Primary),Public Company,-, 7.35 ,-,-,-,-,-,-,-
Berger Paints Bangladesh Limited (DSE:BERGERPBL),DSE:BERGERPBL,Commodity Chemicals (Primary),Public Company, 33.2 , 28.3 , 8.4 , 5.09 , 26.9 , 2.09 , 21.9 , 1.49 , 5.69 
Berger Paints India Limited (BSE:509480),BSE:509480,Commodity Chemicals (Primary),Public Company, 111.3 , 14.96 , 23.7 , 9.69 , 23.8 , 1.71 , 17.4 , 1.26 , 15.8 
Berger Paints Jamaica Limited (JMSE:BRG),JMSE:BRG,Commodity Chemicals (Primary),Public Company, 47.9 , 0.125 , 2.56 , (1.89)  , 5.57 , 2.38 , 3.34 , 1.14 , 5.34 
Berger Paints Nigeria Plc (NGSE:BERGER),NGSE:BERGER,Commodity Chemicals (Primary),Public Company, 17.9 , 0.025 , 0.699 , 9.24 , 3.93 , 1.38 , 9.68 , 0.765 , 8.35 
BEWi ASA (OB:BEWI),OB:BEWI,Commodity Chemicals (Primary),Public Company, 13.6 , 4.13 , 1.98 , 38.9 , 16.5 , 1.42 , 10.6 , 0.936 , 53.2 
Bhansali Engineering Polymers Limited (BSE:500052),BSE:500052,Commodity Chemicals (Primary),Public Company, 8.83 , 3.22 , 4.33 , 7.79 , 64.4 , 8.11 , 34.6 , 1.81 ,-
Bharat Starch Industries Limited,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Biafo Industries Limited (KASE:BIFO),KASE:BIFO,Commodity Chemicals (Primary),Public Company, 20.4 , 1.17 , 3.1 , (2.09)  , 16.2 , 2.1 , 25.8 , 0.701 , 25.6 
