Capital IQ Company Screening Report,,,,,,,,,,,,
,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,Company Type,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual]
"China Kings Resources Group Co.,Ltd. (SHSE:603505)",SHSE:603505,Commodity Chemicals (Primary),Public Company, 24.4 , 5.3 , 5.37 , 29.9 , 24.3 , 1.11 , 47.2 , 0.463 , 33.0 
China Man-Made Fiber Corporation (TWSE:1718),TWSE:1718,Commodity Chemicals (Primary),Public Company, 9.04 , 0.52 , 0.597 , (9.78)  , 7.59 , 0.849 , 27.9 , 0.037 , 40.9 
China Petrochemical Development Corporation (TWSE:1314),TWSE:1314,Commodity Chemicals (Primary),Public Company, 32.3 , 0.636 , 0.604 , (16.5)  , 1.87 , 3.39 , (0.611)  , 0.175 , 24.1 
China Risun Group Limited (SEHK:1907),SEHK:1907,Commodity Chemicals (Primary),Public Company, 11.3 , 0.967 , 2.36 , 1.97 , 22.6 , 0.552 , 14.1 , 0.891 , 56.1 
China Sanjiang Fine Chemicals Company Limited (SEHK:2198),SEHK:2198,Commodity Chemicals (Primary),Public Company, 2.68 , 0.525 , 0.644 , (2.2)  , 27.4 , 0.585 , 19.6 , 0.777 , 46.8 
China Singyes New Materials Holdings Limited (SEHK:8073),SEHK:8073,Commodity Chemicals (Primary),Public Company,NM, 0.051 , 0.556 , (5.82)  , 0.012 ,-, 3.78 , 0.317 , 3.1 
China Sun Group High-Tech Co. (OTCPK:CSGH),OTCPK:CSGH,Commodity Chemicals (Primary),Public Company, 0.064 , 0.015 , 0.01 ,-,-,-,-,-,-
China Sunsine Chemical Holdings Ltd. (SGX:QES),SGX:QES,Commodity Chemicals (Primary),Public Company, 11.4 , 0.52 , 0.916 , (5.19)  , 8.28 , 4.96 , 17.8 , 0.766 ,-
Chinyang Holdings Corp. (KOSE:A100250),KOSE:A100250,Commodity Chemicals (Primary),Public Company, 8.21 , 3.9 , 0.57 , (6.12)  , 6.86 , 1.2 , 8.18 , 0.398 , 16.6 
"Chinyang Poly Urethane Co.,Ltd (KOSE:A010640)",KOSE:A010640,Commodity Chemicals (Primary),Public Company, 29.2 , 4.77 , 1.54 , 13.7 , 5.32 , 1.08 , 10.1 , 0.842 , 23.8 
"Chitec Technology Co., Ltd. (TPEX:3430)",TPEX:3430,Commodity Chemicals (Primary),Public Company, 21.1 , 1.45 , 1.58 , 7.09 , 7.76 , 1.56 , 10.8 , 0.951 , 43.2 
"Chokwang Paint Co., Ltd. (KOSE:A004910)",KOSE:A004910,Commodity Chemicals (Primary),Public Company, 33.5 , 10.41 , 0.446 , 0.82 , 1.44 , 1.08 , 0.307 , 0.608 , 30.3 
"Chongqing Sanxia Paints Co., Ltd (SZSE:000565)",SZSE:000565,Commodity Chemicals (Primary),Public Company, 31.8 , 1.21 , 2.05 , (45.0)  , 6.59 , 3.94 , 11.9 , 0.277 , 16.7 
"CHTC Helon Co., Ltd. (SZSE:000677)",SZSE:000677,Commodity Chemicals (Primary),Public Company, 140.8 , 0.588 , 8.17 , 7.98 , 5.28 , 3.06 , 15.2 , 0.786 , 5.47 
"Chung Hwa Chemical Industrial Works, Ltd. (TWSE:1727)",TWSE:1727,Commodity Chemicals (Primary),Public Company, 68.7 , 0.711 , 1.22 , (12.7)  , 2.85 , 1.82 , 11.9 , 0.737 , 33.7 
Ciba-Geigy AG,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"CIE Holdings, LLC (OTCPK:CLHG)",OTCPK:CLHG,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Ciech S.A. (WSE:CIE),WSE:CIE,Commodity Chemicals (Primary),Public Company, 12.9 , 17.04 , 1.11 , (5.12)  , 9.22 , 1.03 , 20.9 , 0.553 , 49.8 
"CIMCO, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Ciner Resources LP (NYSE:CINR),NYSE:CINR,Commodity Chemicals (Primary),Public Company, 39.7 , 19.56 , 1.7 , (6.23)  , 6.03 , 2.88 , 13.6 , 0.79 , 30.3 
"Cinkarna Celje, d. d. (LJSE:CICG)",LJSE:CICG,Commodity Chemicals (Primary),Public Company, 10.5 , 405.17 , 1.1 , (3.44)  , 10.9 , 5.61 , 18.6 , 0.843 ,-
CirChem AB (publ) (OM:CIRCHE),OM:CIRCHE,Commodity Chemicals (Primary),Public Company,NM, 2.25 , 4.64 ,-,-, 2.46 ,-, 0.043 , 13.3 
Claro India Limited (BSE:524366),BSE:524366,Commodity Chemicals (Primary),Public Company, 35.5 ,-,-,-,-,-,-,-,-
CN Energy Group. Inc. (NasdaqCM:CNEY),NasdaqCM:CNEY,Commodity Chemicals (Primary),Public Company, 24.1 , 7.62 , 2.66 ,-, 11.4 , 1.91 , 24.3 , 0.448 , 7.73 
"CNNC Hua Yuan Titanium Dioxide Co., Ltd (SZSE:002145)",SZSE:002145,Commodity Chemicals (Primary),Public Company, 37.9 , 2.56 , 4.13 , 8.5 , 12.6 , 2.01 , 22.9 , 0.534 , 9.49 
"CNSIG Inner Mongolia Chemical Industry Co., Ltd. (SHSE:600328)",SHSE:600328,Commodity Chemicals (Primary),Public Company, 16.8 , 2.76 , 1.88 , 43.1 , 12.2 , 0.573 , 18.2 , 0.706 , 26.3 
Colorado S.A. (CBSE:COL),CBSE:COL,Commodity Chemicals (Primary),Public Company,-, 8.59 ,-, (5.51)  , 5.37 , 2.0 , 8.93 , 0.802 , 6.16 
Comfort Gloves Berhad (KLSE:COMFORT),KLSE:COMFORT,Commodity Chemicals (Primary),Public Company, 4.35 , 0.676 , 2.09 , 31.0 , 62.8 , 2.59 , 41.5 , 1.49 , 8.63 
CondAlign AS (OTCNO:COND),OTCNO:COND,Commodity Chemicals (Primary),Public Company,-, 2.16 ,-,-,-,-,-,-,-
Continental Petroleums Limited (BSE:523232),BSE:523232,Commodity Chemicals (Primary),Public Company, 13.4 , 1.04 , 2.44 , 22.1 ,-,-, 6.41 , 1.17 , 42.6 
"Core Molding Technologies, Inc. (NYSEAM:CMT)",NYSEAM:CMT,Commodity Chemicals (Primary),Public Company, 32.6 , 18.5 , 1.13 , 7.14 , 3.89 , 1.51 , 9.44 , 1.29 , 24.7 
"Corporación Grupo Químico, C.A. (CCSE:CGQ)",CCSE:CGQ,Commodity Chemicals (Primary),Public Company,-, 0 ,-,-,-,-,-,-,-
"Cosmo Chemical Co., Ltd. (KOSE:A005420)",KOSE:A005420,Commodity Chemicals (Primary),Public Company,NM, 14.09 , 2.28 , (7.1)  , (2.29)  , 0.778 , 8.59 , 0.6 , 49.1 
CPTA,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Crown Advanced Material Co., Ltd. (SHSE:688560)",SHSE:688560,Commodity Chemicals (Primary),Public Company, 26.1 , 4.31 , 2.51 ,-, 10.6 , 3.4 , 9.33 , 0.657 , 2.23 
Crown Asia Chemicals Corporation (PSE:CROWN),PSE:CROWN,Commodity Chemicals (Primary),Public Company, 8.33 , 0.049 , 0.815 , (1.03)  , 10.2 , 3.15 , 18.1 , 0.697 , 2.27 
Crown ElectroKinetics Corp. (NasdaqCM:CRKN),NasdaqCM:CRKN,Commodity Chemicals (Primary),Public Company,NM, 6.05 ,NM,-,NM, 0.039 ,-, 0.188 ,NM
"Cyber Law Reporter, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Cydsa, S.A.B. de C.V. (BMV:CYDSASA A)",BMV:CYDSASA A,Commodity Chemicals (Primary),Public Company, 24.9 , 0.947 , 0.848 , 4.72 , 3.7 , 2.61 , 23.0 , 0.39 , 59.6 
"Daejung Chemicals & Metals Co.,Ltd. (KOSDAQ:A120240)",KOSDAQ:A120240,Commodity Chemicals (Primary),Public Company, 23.2 , 31.14 , 1.47 , 5.65 , 6.53 , 2.26 , 14.1 , 0.514 , 12.7 
"Dainichiseika Color & Chemicals Mfg. Co., Ltd. (TSE:4116)",TSE:4116,Commodity Chemicals (Primary),Public Company, 6.84 , 28.54 , 0.424 , (6.13)  , 6.34 , 1.89 , 7.04 , 0.719 , 29.2 
Daios Plastics S.A. (ATSE:DAIOS),ATSE:DAIOS,Commodity Chemicals (Primary),Public Company,NM, 5.13 , 2.05 , (14.9)  , (7.17)  , 0.959 , 14.8 , 0.178 , 80.0 
"Daishin Chemical Co.,Ltd. (JASDAQ:4629)",JASDAQ:4629,Commodity Chemicals (Primary),Public Company, 9.34 , 17.55 , 0.999 , (1.24)  , 8.45 , 2.36 , 7.77 , 1.23 , 1.77 
Dalian BIO-CHEM Company Limited (SHSE:603360),SHSE:603360,Commodity Chemicals (Primary),Public Company, 19.2 , 2.83 , 3.54 , 20.4 , 17.2 , 1.24 , 34.3 , 0.572 , 23.3 
"Danhua Chemical Technology Co.,Ltd (SHSE:600844)",SHSE:600844,Commodity Chemicals (Primary),Public Company,NM, 0.963 , 3.6 , (6.61)  , (20.9)  , 0.477 , (0.827)  , 0.385 , 18.3 
"Daoming Optics&Chemical Co.,Ltd (SZSE:002632)",SZSE:002632,Commodity Chemicals (Primary),Public Company, 24.0 , 1.4 , 2.04 , 13.0 , 8.31 , 1.65 , 26.8 , 0.432 , 8.17 
Daqing Huake Company Limited (SZSE:000985),SZSE:000985,Commodity Chemicals (Primary),Public Company, 45.3 , 2.47 , 2.66 , 2.22 , 6.07 , 3.84 , 3.28 , 2.46 ,-
DCW Limited (NSEI:DCW),NSEI:DCW,Commodity Chemicals (Primary),Public Company,NM, 0.651 , 1.38 , 7.24 , (0.892)  , 0.76 , 14.3 , 0.785 , 46.1 
Decheng Technology AG (DB:333),DB:333,Commodity Chemicals (Primary),Public Company, 0.028 , 0.028 , 0.01 ,-,-,-,-,-,-
Deep Polymers Limited (BSE:541778),BSE:541778,Commodity Chemicals (Primary),Public Company, 44.9 , 1.76 , 4.01 ,-, 12.8 , 7.33 , 14.9 , 1.07 , 3.6 
Deepak Nitrite Limited (BSE:506401),BSE:506401,Commodity Chemicals (Primary),Public Company, 30.8 , 31.83 , 10.2 , 38.2 , 39.6 , 2.62 , 28.6 , 1.29 , 18.7 
Denka Company Limited (TSE:4061),TSE:4061,Commodity Chemicals (Primary),Public Company, 14.0 , 45.28 , 1.2 , (3.6)  , 8.42 , 1.29 , 16.3 , 0.69 , 33.9 
Descon Oxychem Limited (KASE:DOL),KASE:DOL,Commodity Chemicals (Primary),Public Company, 12.4 , 0.24 , 2.43 , 11.4 , 20.2 , 2.04 , 31.5 , 1.04 , 13.2 
Dexxos Participações S.A. (BOVESPA:DEXP3),BOVESPA:DEXP3,Commodity Chemicals (Primary),Public Company, 7.95 , 10.66 , 3.66 , 25.5 , 59.0 , 1.65 , 15.2 , 1.2 , 31.0 
Dhunseri Ventures Limited (BSE:523736),BSE:523736,Commodity Chemicals (Primary),Public Company, 3.48 , 4.18 , 0.503 , (37.7)  , 16.5 , 9.59 , 69.9 , 0.14 , 3.96 
Diamines and Chemicals Limited (BSE:500120),BSE:500120,Commodity Chemicals (Primary),Public Company, 13.2 , 5.15 , 3.26 , 17.7 , 28.0 , 9.69 , 42.1 , 0.734 , 0.355 
Dinamik Isi Makina Yalitim Malzemeleri Sanayi Ve Ticaret Anonim Sirketi (IBSE:DNISI),IBSE:DNISI,Commodity Chemicals (Primary),Public Company, 24.5 , 1.64 , 2.66 ,-, 16.3 , 5.78 , 14.2 , 0.76 , 12.9 
Dipped Products PLC (COSE:DIPD.N0000),COSE:DIPD.N0000,Commodity Chemicals (Primary),Public Company, 6.33 , 0.369 , 2.09 , 17.7 , 35.2 , 1.46 , 17.4 , 1.3 , 37.2 
Do Thanh Technology Corporation (HOSE:DTT),HOSE:DTT,Commodity Chemicals (Primary),Public Company, 26.3 ,-, 0.936 ,-,-,-,-,-,-
"Do-Fluoride Chemicals Co., Ltd. (SZSE:002407)",SZSE:002407,Commodity Chemicals (Primary),Public Company, 157.0 , 6.61 , 7.17 , 5.65 , 4.04 , 0.783 , 10.6 , 0.452 , 52.4 
Dolco Packaging Corp.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Dong A Paint Joint Stock Company (HNX:HDA),HNX:HDA,Commodity Chemicals (Primary),Public Company, 15.3 , 0.607 , 0.631 , 11.4 , 4.04 , 1.28 , 16.5 , 0.721 , 30.2 
Dong Nai Paint Corporation (HNX:SDN),HNX:SDN,Commodity Chemicals (Primary),Public Company, 5.69 , 2.0 , 1.23 , (2.04)  , 28.9 , 2.12 ,-, 2.13 ,-
Dong Phu Rubber Joint Stock Company (HOSE:DPR),HOSE:DPR,Commodity Chemicals (Primary),Public Company, 12.8 , 3.62 , 1.38 , 4.72 , 10.1 , 3.28 , 29.3 , 0.303 , 8.26 
DongNai Plastic Construction Joint-stock Company (HNX:DNP),HNX:DNP,Commodity Chemicals (Primary),Public Company, 198.5 , 1.33 , 1.88 , 25.2 , 0.928 , 1.18 , 14.4 , 0.38 , 66.6 
"Dongsung Chemical Co., Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-, (3.69)  , 21.3 , 3.47 , 17.4 , 0.969 , 0.054 
"Dongsung Chemical Co., Ltd. (KOSE:A102260)",KOSE:A102260,Commodity Chemicals (Primary),Public Company, 69.1 , 7.51 , 1.02 , 3.74 , 8.42 , 1.13 , 9.68 , 1.07 , 29.4 
Doodeh Sanati Pars Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Dow Inc. (NYSE:DOW),NYSE:DOW,Commodity Chemicals (Primary),Public Company, 23.4 , 83.39 , 3.31 ,-, 14.6 , 1.69 , 14.0 , 0.632 , 59.7 
DPI Holdings Berhad (KLSE:DPIH),KLSE:DPIH,Commodity Chemicals (Primary),Public Company, 28.6 , 0.201 , 3.78 ,-, 13.8 , 9.19 , 22.9 , 0.538 , 0.21 
DSR Corp (KOSE:A155660),KOSE:A155660,Commodity Chemicals (Primary),Public Company, 10.8 , 8.38 , 0.683 , 0.803 , 6.55 , 1.74 , 9.14 , 0.936 , 27.0 
Duc Giang Chemicals Group Joint Stock Company (HOSE:DGC),HOSE:DGC,Commodity Chemicals (Primary),Public Company, 14.8 , 4.72 , 3.37 ,-, 26.2 , 2.06 , 20.2 , 1.18 , 22.0 
"Duksung Co., Ltd. (KOSE:A004830)",KOSE:A004830,Commodity Chemicals (Primary),Public Company, 94.4 , 31.67 , 6.02 , 7.5 , 7.64 , 1.72 , 8.1 , 1.13 , 30.0 
Duroc AB (publ) (OM:DURC B),OM:DURC B,Commodity Chemicals (Primary),Public Company, 71.7 , 4.75 , 1.16 , 7.34 , 1.59 , 1.81 , 0.446 , 1.65 , 29.6 
"Dynamic Ventures, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Eason & Co Public Company Limited (SET:EASON),SET:EASON,Commodity Chemicals (Primary),Public Company,NM, 0.081 , 1.02 , (4.41)  , (14.9)  , 3.32 , 20.4 , 0.395 , 12.0 
Eastern Lubricants Blenders Limited (DSE:EASTRNLUB),DSE:EASTRNLUB,Commodity Chemicals (Primary),Public Company, 33.1 , 19.28 , 5.76 ,-,-, 2.06 , 13.3 , 0.121 ,-
Eastern Polymer Group Public Company Limited (SET:EPG),SET:EPG,Commodity Chemicals (Primary),Public Company, 26.4 , 0.491 , 2.92 , (0.113)  , 11.3 , 2.34 , 17.8 , 0.651 , 19.1 
"Eco-Tek Group, Inc. (OTCPK:ETEK)",OTCPK:ETEK,Commodity Chemicals (Primary),Public Company,NM, 0.001 ,NM,-,-,-,-,-,-
Ecoplast Limited (BSE:526703),BSE:526703,Commodity Chemicals (Primary),Public Company, 107.4 , 1.33 , 0.69 , (9.98)  , 0.638 , 2.41 , 4.4 , 1.43 , 21.2 
"Ecopro Co., Ltd. (KOSDAQ:A086520)",KOSDAQ:A086520,Commodity Chemicals (Primary),Public Company, 33.5 , 52.99 ,NM, 39.4 , 24.0 , 0.522 , 13.8 , 0.856 , 43.0 
EcoRub AB (publ) (NGM:ECO B),NGM:ECO B,Commodity Chemicals (Primary),Public Company,NM, 0.043 , 20.7 , (12.1)  , (187.0)  , 4.33 , (185.0)  , 0.312 ,-
"Eidai Kako Co.,Ltd. (JASDAQ:7877)",JASDAQ:7877,Commodity Chemicals (Primary),Public Company, 14.5 , 20.33 , 0.336 , (1.67)  , 2.34 , 3.27 , 6.3 , 0.809 , 10.7 
"Electro-Kinetic Systems, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Elekeiroz S.A.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Elion Energy Company Limited (SHSE:600277),SHSE:600277,Commodity Chemicals (Primary),Public Company, 16.1 , 0.673 , 0.559 , (10.4)  , 3.49 , 0.978 , 13.7 , 0.352 , 39.1 
"Elite Color Environmental Resources Science & Technology Co., Ltd. (SZSE:002998)",SZSE:002998,Commodity Chemicals (Primary),Public Company, 19.4 , 2.12 , 2.45 ,-,-, 2.85 , 16.9 , 1.29 , 26.8 
Enaex S.A. (SNSE:ENAEX),SNSE:ENAEX,Commodity Chemicals (Primary),Public Company, 17.1 , 15.48 , 2.14 , 7.48 , 12.6 , 1.86 , 19.3 , 0.639 , 36.0 
English China Clays plc,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Engro Polymer and Chemicals Limited (KASE:EPCL),KASE:EPCL,Commodity Chemicals (Primary),Public Company, 4.91 , 0.411 , 1.66 , 14.1 , 41.1 , 1.55 , 36.6 , 0.558 , 50.2 
Enka de Colombia S.A. (BVC:ENKA),BVC:ENKA,Commodity Chemicals (Primary),Public Company, 5.52 , 0.005 , 0.406 , 0.449 , 7.71 , 2.26 , 12.2 , 0.598 , 13.6 
EPC Groupe (ENXTPA:EXPL),ENXTPA:EXPL,Commodity Chemicals (Primary),Public Company,NM, 78.35 , 1.12 , 0.912 , (19.7)  , 1.14 , 3.7 , 0.998 , 54.1 
Epoxy Base Electronic Material Corporation Limited (SHSE:603002),SHSE:603002,Commodity Chemicals (Primary),Public Company, 20.5 , 1.27 , 2.71 , 29.2 , 17.1 , 1.8 , 12.1 , 0.827 , 4.91 
"Ercros, S.A. (BME:ECR)",BME:ECR,Commodity Chemicals (Primary),Public Company, 55.1 , 5.36 , 1.19 , (5.72)  , 2.17 , 1.17 , 6.41 , 0.916 , 31.6 
ERG Spólka Akcyjna (WSE:ERG),WSE:ERG,Commodity Chemicals (Primary),Public Company, 55.4 , 16.11 , 0.985 , (1.69)  , 1.77 , 1.27 , 4.82 ,-, 13.6 
Essentra plc (LSE:ESNT),LSE:ESNT,Commodity Chemicals (Primary),Public Company, 207.8 , 6.17 , 1.62 , (4.44)  , 1.08 , 1.92 , 11.3 , 0.725 , 35.4 
Ester Industries Limited (BSE:500136),BSE:500136,Commodity Chemicals (Primary),Public Company, 8.05 , 2.41 , 2.16 , 7.13 , 29.9 , 1.91 , 23.3 , 1.28 , 25.2 
"Eternal Materials Co., Ltd. (TWSE:1717)",TWSE:1717,Commodity Chemicals (Primary),Public Company, 15.8 , 1.93 , 2.12 , (0.266)  , 13.6 , 2.0 , 13.8 , 0.698 , 46.4 
"Evermore Chemical Industry Co., Ltd. (TWSE:1735)",TWSE:1735,Commodity Chemicals (Primary),Public Company, 42.2 , 0.878 , 1.22 , (9.73)  , 2.89 , 1.25 , 8.61 , 0.793 , 41.4 
"Excel Industries, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Fabchem China Limited (SGX:BFT),SGX:BFT,Commodity Chemicals (Primary),Public Company,NM, 0.355 , 0.585 , (11.4)  , (11.3)  , 0.903 , (4.46)  , 0.424 , 29.8 
Fabryka Farb i Lakierów Sniezka SA (WSE:SKA),WSE:SKA,Commodity Chemicals (Primary),Public Company, 13.7 , 30.33 , 3.51 , 15.1 , 26.9 , 0.997 , 16.6 , 1.2 , 43.3 
Fanavaran Petrochemical Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Farabi Petrochemical Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Fenoplast Limited (BSE:526689),BSE:526689,Commodity Chemicals (Primary),Public Company, 41.8 , 0.237 , 0.186 , (19.2)  ,-,-, 7.16 , 1.15 , 68.1 
Fiber Intermediate Products Co.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Fillamentum Manufacturing Czech s.r.o. (SEP:FILL),SEP:FILL,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Finolex Industries Limited (BSE:500940),BSE:500940,Commodity Chemicals (Primary),Public Company, 21.1 , 3.08 , 4.49 ,-,-,-, 23.7 , 0.96 , 12.5 
Flügger group A/S (CPSE:FLUG B),CPSE:FLUG B,Commodity Chemicals (Primary),Public Company, 12.1 , 150.16 , 2.29 , 5.14 , 20.5 , 1.62 , 12.6 , 1.36 , 35.8 
FnC Kolon Corp.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Foosung Co., Ltd. (KOSE:A093370)",KOSE:A093370,Commodity Chemicals (Primary),Public Company, 278.5 , 12.67 , 4.58 , 0.763 , (2.14)  , 0.857 , 15.9 , 0.491 , 50.7 
Formosa Chemicals & Fibre Corporation (TWSE:1326),TWSE:1326,Commodity Chemicals (Primary),Public Company, 13.2 , 4.03 , 1.33 , (9.48)  , 10.3 , 2.91 , 17.4 , 0.468 , 19.4 
Formosa Plastics Corporation (TWSE:1301),TWSE:1301,Commodity Chemicals (Primary),Public Company, 18.3 , 4.93 , 1.81 , (1.38)  , 10.6 , 2.57 , 17.4 , 0.381 , 21.6 
Formosan Rubber Group Inc. (TWSE:2107),TWSE:2107,Commodity Chemicals (Primary),Public Company, 9.75 , 1.18 , 0.72 , 26.9 , 7.8 , 11.9 , 27.2 , 0.26 , 3.47 
Formosan Union Chemical Corp. (TWSE:1709),TWSE:1709,Commodity Chemicals (Primary),Public Company, 13.6 , 0.979 , 1.3 , (1.61)  , 9.38 , 1.78 , 13.9 , 0.756 , 24.5 
Foy-Johnston Inc. (OTCPK:FOYJ),OTCPK:FOYJ,Commodity Chemicals (Primary),Public Company,-, 0.001 , 3.16 ,-,-,-,-,-,-
"Freestone Resources, Inc. (OTCPK:FSNR)",OTCPK:FSNR,Commodity Chemicals (Primary),Public Company,NM,-,NM,-,-,-,-,-,-
"FSPG Hi-Tech CO., Ltd. (SZSE:000973)",SZSE:000973,Commodity Chemicals (Primary),Public Company, 48.5 , 0.892 , 1.71 , (0.044)  , 4.63 , 2.0 , 14.1 , 0.573 , 21.6 
Fuchs Petrolub SE (XTRA:FPE3),XTRA:FPE3,Commodity Chemicals (Primary),Public Company,-, 66.49 ,-, (0.523)  , 14.8 , 2.35 , 16.6 , 1.15 , 1.86 
"Fujian Acetron New Materials Co., Ltd. (SZSE:300706)",SZSE:300706,Commodity Chemicals (Primary),Public Company,NM, 5.15 , 7.85 , 18.8 , 2.43 , 1.13 , 12.6 , 0.411 , 44.7 
"Fujian Green Pine Co., Ltd. (SZSE:300132)",SZSE:300132,Commodity Chemicals (Primary),Public Company, 23.9 , 4.51 , 3.46 , 63.9 , 14.6 , 2.03 , 17.5 , 0.833 , 20.7 
"Fujian Yuanli Active Carbon Co., Ltd (SZSE:300174)",SZSE:300174,Commodity Chemicals (Primary),Public Company, 33.8 , 3.13 , 2.72 , 2.23 , 11.5 , 6.78 , 16.9 , 0.676 , 1.59 
"Fujimori Kogyo Co., Ltd. (TSE:7917)",TSE:7917,Commodity Chemicals (Primary),Public Company, 10.9 , 50.22 , 1.07 , 2.71 , 10.5 , 2.21 , 13.0 , 1.04 , 3.37 
"Fuwei Films (Holdings) Co., Ltd. (NasdaqCM:FFHL)",NasdaqCM:FFHL,Commodity Chemicals (Primary),Public Company, 9.47 , 11.71 , 0.814 , 5.02 , 9.0 , 1.47 , 29.9 , 0.739 , 37.8 
G M Polyplast Limited (BSE:543239),BSE:543239,Commodity Chemicals (Primary),Public Company, 9.31 , 3.05 , 1.82 ,-,-, 1.98 , 10.1 , 2.52 , 25.0 
Gagan Polycot India Limited (BSE:531196),BSE:531196,Commodity Chemicals (Primary),Public Company,NM, 0.039 , 0.209 , (77.7)  ,-,-, (83.2)  , 0.095 , 38.8 
Garware Hi-Tech Films Limited (BSE:500655),BSE:500655,Commodity Chemicals (Primary),Public Company, 16.2 , 15.95 , 1.31 , 5.88 , 8.49 , 2.4 , 22.0 , 0.558 , 6.67 
Gatron (Industries) Limited (KASE:GATI),KASE:GATI,Commodity Chemicals (Primary),Public Company, 9.3 , 4.46 , 2.99 , 4.45 , 21.8 , 1.62 , 13.0 , 0.643 , 17.8 
GB Holdings Limited,-,Commodity Chemicals (Primary),Public Company,-,-,-, (39.9)  , 19.4 , 1.36 , 28.7 , 0.899 , 0.318 
Gediz Ambalaj Sanayi ve Ticaret A.S. (IBSE:GEDZA),IBSE:GEDZA,Commodity Chemicals (Primary),Public Company, 8.87 , 6.19 , 2.79 , 29.5 , 36.5 , 2.59 , 35.4 , 0.725 , 25.3 
"GelTech Solutions, Inc. (OTCPK:GLTC)",OTCPK:GLTC,Commodity Chemicals (Primary),Public Company,NM, 0.032 ,NM,-,-,-,-,-,-
"General Silicones Co., Ltd. (TPEX:4730)",TPEX:4730,Commodity Chemicals (Primary),Public Company, 9.16 ,-, 0.625 , 1.42 , 7.05 , 1.62 , 5.95 , 1.01 , 48.4 
GHCL Limited (NSEI:GHCL),NSEI:GHCL,Commodity Chemicals (Primary),Public Company, 8.38 , 5.21 , 1.1 , (0.219)  , 14.1 , 1.71 , 22.1 , 0.712 , 24.1 
Ginegar Plastic Products Ltd. (TASE:GNGR),TASE:GNGR,Commodity Chemicals (Primary),Public Company, 11.6 , 7.58 , 1.22 , 2.09 , 10.7 , 1.65 , 11.3 , 0.893 , 44.1 
Global Bioenergies SA (ENXTPA:ALGBE),ENXTPA:ALGBE,Commodity Chemicals (Primary),Public Company,NM, 11.49 , 17.6 , (40.7)  , (161.1)  , 1.46 ,-, 0.002 , 76.1 
Global Heavy Chemicals Limited (DSE:GHCL),DSE:GHCL,Commodity Chemicals (Primary),Public Company, 106.4 , 0.535 , 0.58 , 0.23 , 0.537 , 1.85 , 26.5 , 0.118 , 4.65 
"Global NuTech, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Glorywin Entertainment Group, Inc. (OTCPK:GWIN)",OTCPK:GWIN,Commodity Chemicals (Primary),Public Company,-, 0.661 ,-,-,-,-,-,-,-
GOCL Corporation Limited (BSE:506480),BSE:506480,Commodity Chemicals (Primary),Public Company, 18.8 , 4.47 , 1.14 , (2.58)  ,-,-, 0.724 , 0.251 , 56.7 
"Gold River Productions, Inc. (OTCPK:GRPS)",OTCPK:GRPS,Commodity Chemicals (Primary),Public Company,NM, 0.023 , 10.7 ,-,-,-,-,-,-
Golden Lime Public Company Limited (SET:SUTHA),SET:SUTHA,Commodity Chemicals (Primary),Public Company, 6.62 , 0.205 , 2.25 , 8.98 , 37.9 , 0.953 , 19.5 , 0.628 , 67.0 
good natured Products Inc. (TSXV:GDNP),TSXV:GDNP,Commodity Chemicals (Primary),Public Company,NM, 1.14 , 8.37 ,-, (78.2)  , 2.56 , (7.4)  , 0.52 , 95.2 
