Capital IQ Company Screening Report > [Financial Ratio Bot] Chemical companies test case,,,,,,,,,,,,,
,,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual],Exchanges [Primary Listing],Exchanges [Secondary Listings]
Dhanlaxmi Cotex Limited (BSE:512485),BSE:512485,Financials (Primary),-,-,-, (38.8)  , 0.957 , 501.8 , 6.85 , 0.236 ,-,Mumbai Stock Exchange (BSE),-
Dhanlaxmi Fabrics Limited (BSE:521151),BSE:521151,Consumer Discretionary (Primary); Utilities,NM, 0.407 , 0.32 , (18.6)  ,-,-, 7.57 , 1.03 , 22.4 ,Mumbai Stock Exchange (BSE),-
Dhanleela Investments & Trading Company Limited (BSE:503637),BSE:503637,Consumer Discretionary (Primary); Financials,-,-,-,-,-,-,-,-,-,Mumbai Stock Exchange (BSE),-
Dhanuka Agritech Limited (BSE:507717),BSE:507717,Materials (Primary); Materials (Primary); Utilities, 21.5 , 17.38 , 5.62 , 13.0 , 28.0 , 3.11 , 19.4 , 1.35 , 1.04 ,Mumbai Stock Exchange (BSE),"NSEI:DHANUKA
Company: Dhanuka Agritech Limited
(IQT136765652) - National Stock Exchange of India (NSEI)"
Dhanuka Realty Limited (NSEI:DRL),NSEI:DRL,Real Estate (Primary),NM,-, 0.678 ,-, (14.8)  , 1.42 , 6.86 , 0.119 , 55.2 ,National Stock Exchange of India (NSEI),-
Dhanvantri Jeevan Rekha Limited (BSE:531043),BSE:531043,Health Care (Primary),NM, 0.119 , 0.287 , (8.33)  ,-,-, (7.26)  , 1.22 , 0.955 ,Mumbai Stock Exchange (BSE),-
Dhanvarsha Finvest Limited (BSE:540268),BSE:540268,Financials (Primary); Industrials,NM, 14.41 , 12.2 , 40.6 , 1.99 , 33.2 ,-, 0.216 , 44.6 ,Mumbai Stock Exchange (BSE),-
Dharani Finance Limited (BSE:511451),BSE:511451,Financials (Primary); Consumer Discretionary; Industrials,NM, 0.089 , 0.307 , (47.4)  ,-,-, 63.0 , 0.106 , 2.73 ,Mumbai Stock Exchange (BSE),-
Dharani Sugars and Chemicals Limited (BSE:507442),BSE:507442,Consumer Staples (Primary); Materials; Materials; Utilities, 6.02 , 0.494 ,NM, (61.1)  ,-,-, (74.8)  , 0.17 , 121.1 ,Mumbai Stock Exchange (BSE),"NSEI:DHARSUGAR
Company: Dharani Sugars and Chemicals Limited
(IQT46355885) - National Stock Exchange of India (NSEI)"
DHB Capital Corp. (NasdaqCM:DHBC),NasdaqCM:DHBC,Financials (Primary),-, 13.01 ,NM,-,-,-,-,-, 44.1 ,Nasdaq Capital Market (NasdaqCM),"NasdaqCM:DHBC.U
Company: DHB Capital Corp.
(IQT704473116) - Nasdaq Capital Market (NasdaqCM)"
DHC Acquisition Corp. (NasdaqCM:DHCA),NasdaqCM:DHCA,Financials (Primary),-, 13.0 ,-,-,-,-,-,-,-,Nasdaq Capital Market (NasdaqCM),"NasdaqCM:DHCA.U
Company: DHC Acquisition Corp.
(IQT706013656) - Nasdaq Capital Market (NasdaqCM)"
"DHC Software Co., Ltd. (SZSE:002065)",SZSE:002065,Information Technology (Primary), 48.4 , 1.62 , 2.44 , 8.52 , 5.06 , 1.92 , 5.86 , 0.513 , 25.4 ,Shenzhen Stock Exchange (SZSE),-
Dhenu Buildcon Infra Limited (BSE:501945),BSE:501945,Consumer Discretionary (Primary); Financials, 97.1 , 0.038 , 0.999 ,-,-,-,-,-,-,Mumbai Stock Exchange (BSE),-
DHFL Pramerica Mutual Fund - DHFL Pramerica Fixed Duration Fund - Series AP (NSEI:DPRMAPD1G),NSEI:DPRMAPD1G,Financials (Primary),-,-,-,-,-,-,-,-,-,National Stock Exchange of India (NSEI),"NSEI:DPRMAPDPD
Company: DHFL Pramerica Mutual Fund - DHFL Pramerica Fixed Duration Fund - Series AP
(IQT554077652) - National Stock Exchange of India (NSEI)"
"DHI Group, Inc. (NYSE:DHX)",NYSE:DHX,Communication Services (Primary); Industrials,NM, 4.52 , 1.25 , (12.6)  , (14.9)  , 0.549 , 15.5 , 0.527 , 22.3 ,New York Stock Exchange (NYSE),"DB:32D
Company: DHI Group, Inc.
(IQT260093124) - Deutsche Boerse AG (DB)"
Dhipaya Insurance Public Company Limited (SET:TIP),SET:TIP,Financials (Primary), 8.96 , 1.31 , 2.09 , 10.9 , 26.6 , 0.795 , 21.5 , 0.298 , 1.14 ,The Stock Exchange of Thailand (SET),"SET:TIP-R
Company: Dhipaya Insurance Public Company Limited
(IQT20217294) - The Stock Exchange of Thailand (SET)"
