Capital IQ Company Screening Report > [Financial Ratio Bot] Chemical companies test case,,,,,,,,,,,,,
,,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual],Exchanges [Primary Listing],Exchanges [Secondary Listings]
Dhoot Industrial Finance Limited (BSE:526971),BSE:526971,Industrials (Primary); Consumer Discretionary; Financials; Information Technology; Utilities, 1.24 , 1.17 , 0.226 , 8.45 , 30.6 , 0.625 , 77.8 , 0.278 , 25.9 ,Mumbai Stock Exchange (BSE),-
Dhouse Pattana Public Company Limited (SET:DHOUSE),SET:DHOUSE,Real Estate (Primary), 87.4 , 0.049 , 2.16 ,-, 2.44 , 0.817 , 18.7 , 0.118 , 40.2 ,The Stock Exchange of Thailand (SET),"SET:DHOUSE-R
Company: Dhouse Pattana Public Company Limited
(IQT691112598) - The Stock Exchange of Thailand (SET)"
DHP India Limited (BSE:531306),BSE:531306,Industrials (Primary); Consumer Discretionary, 7.09 , 9.93 , 1.5 , 11.5 , 26.0 , 12.4 , 33.6 , 0.637 , 0.526 ,Mumbai Stock Exchange (BSE),-
Dhruv Consultancy Services Limited (BSE:541302),BSE:541302,Industrials (Primary), 14.2 , 0.504 , 0.78 , 11.3 , 5.63 , 2.99 , 9.59 , 0.843 , 16.6 ,Mumbai Stock Exchange (BSE),-
Dhruv Estates Limited (BSE:507886),BSE:507886,Real Estate (Primary); Industrials,-, 0.194 ,-,-,-,-,-, 0.003 ,-,Mumbai Stock Exchange (BSE),-
Dhruv Wellness Limited (BSE:540695),BSE:540695,Health Care (Primary); Consumer Discretionary,NM,-,NM, (80.1)  ," (1,302.4)  ", 0.296 ,-, 1.44 , 186.0 ,Mumbai Stock Exchange (BSE),-
Dhruva Capital Services Ltd. (BSE:531237),BSE:531237,Financials (Primary), 44.4 , 0.081 , 0.363 , (3.22)  , 0.678 , 27.7 ,-, 0.039 , 0.767 ,Mumbai Stock Exchange (BSE),-
"DHT Holdings, Inc. (NYSE:DHT)",NYSE:DHT,Energy (Primary), 5.4 , 8.73 , 1.03 , 18.2 , 19.9 , 2.87 , 62.9 , 0.401 , 29.9 ,New York Stock Exchange (NYSE),"DB:D8EN
Company: DHT Holdings, Inc.
(IQT111772766) - Deutsche Boerse AG (DB)

BMV:DHT N
Company: DHT Holdings, Inc.
(IQT645658464) - Bolsa Mexicana de Valores (BMV)"
Dhunseri Investments Limited (BSE:533336),BSE:533336,Financials (Primary), 5.48 , 10.08 , 0.214 ,-,-,-, 48.5 , 0.054 , 5.17 ,Mumbai Stock Exchange (BSE),"NSEI:DHUNINV
Company: Dhunseri Investments Limited
(IQT128693721) - National Stock Exchange of India (NSEI)"
Dhunseri Tea & Industries Limited (BSE:538902),BSE:538902,Consumer Staples (Primary), 10.4 , 8.43 , 0.375 , 8.36 , 3.66 , 2.09 , 16.6 , 0.334 , 7.82 ,Mumbai Stock Exchange (BSE),"NSEI:DTIL
Company: Dhunseri Tea & Industries Limited
(IQT282461124) - National Stock Exchange of India (NSEI)"
Dhunseri Ventures Limited (BSE:523736),BSE:523736,Materials (Primary); Materials (Primary); Consumer Staples; Financials; Industrials; Real Estate, 3.59 , 4.46 , 0.52 , (37.7)  , 16.5 , 9.59 , 69.9 , 0.14 , 3.96 ,Mumbai Stock Exchange (BSE),"NSEI:DVL
Company: Dhunseri Ventures Limited
(IQT46390185) - National Stock Exchange of India (NSEI)"
Di Dong Il Corporation (KOSE:A001530),KOSE:A001530,Consumer Discretionary (Primary), 14.5 , 235.28 , 0.727 , (6.71)  , 5.76 , 1.13 , 7.65 , 0.768 , 30.5 ,Korea Stock Exchange (KOSE),-
Diaceutics PLC (AIM:DXRX),AIM:DXRX,Health Care (Primary); Industrials,NM, 2.38 , 2.72 , 19.9 , 0.871 , 11.5 , 3.35 , 0.385 , 0.292 ,-,"DB:7DC
Company: Diaceutics PLC
(IQT605281232) - Deutsche Boerse AG (DB)"
Diadrom Holding AB (publ) (OM:DIAH),OM:DIAH,Information Technology (Primary), 48.2 , 2.14 , 4.66 , (14.0)  , 10.1 , 3.12 , 7.24 , 1.34 ,-,OMX Nordic Exchange Stockholm (OM),-
Diageo plc (LSE:DGE),LSE:DGE,Consumer Staples (Primary), 72.6 , 64.98 , 11.9 , (2.05)  , 13.4 , 1.77 , 31.2 , 0.364 , 67.2 ,London Stock Exchange (LSE),"DB:GUI
Company: Diageo plc
(IQT109834840) - Deutsche Boerse AG (DB)

DB:GUIA
Company: Diageo plc
(IQT82048838) - Deutsche Boerse AG (DB)

BMV:DGE N
Company: Diageo plc
(IQT628257849) - Bolsa Mexicana de Valores (BMV)

LSE:DGED
Company: Diageo plc
(IQT20183553) - London Stock Exchange (LSE)

XTRA:GUI
Company: Diageo plc
(IQT286751704) - XETRA Trading Platform (XTRA)"
DIAGNOS Inc. (TSXV:ADK),TSXV:ADK,Health Care (Primary),NM, 0.588 , 32.7 , (40.9)  , (139.0)  , 2.89 ,-, 0.122 , 29.4 ,-,"DB:4D4A
Company: DIAGNOS Inc.
(IQT112067203) - Deutsche Boerse AG (DB)"
Diagnostic Medical Systems S.A. (ENXTPA:DGM),ENXTPA:DGM,Health Care (Primary),NM, 2.36 , 1.4 , 5.03 , (34.7)  , 1.35 , (8.38)  , 0.819 , 46.5 ,Euronext Paris (ENXTPA),"LSE:0RIA
Company: Diagnostic Medical Systems S.A.
(IQT37874464) - London Stock Exchange (LSE)"
Diagnósticos da América S.A. (BOVESPA:DASA3),BOVESPA:DASA3,Health Care (Primary),NM, 16.37 , 8.31 , 30.9 , (2.15)  , 1.13 , 7.09 , 0.635 , 65.9 ,Bolsa de Valores de Sao Paulo (BOVESPA),-
"Diale Inversiones Financieras, SICAV, S.A. (BME:S2570)",BME:S2570,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
Dialight plc (LSE:DIA),LSE:DIA,Industrials (Primary); Consumer Discretionary; Information Technology,NM, 6.06 , 1.84 , (13.0)  , (12.5)  , 1.96 , (3.61)  , 0.995 , 32.0 ,London Stock Exchange (LSE),"DB:3HQ
Company: Dialight plc
(IQT246577062) - Deutsche Boerse AG (DB)"
Dialog Semiconductor Plc (XTRA:DLG),XTRA:DLG,Information Technology (Primary), 57.2 , 104.78 , 3.06 , 1.84 , 6.09 , 2.83 , 19.2 , 0.64 , 2.66 ,XETRA Trading Platform (XTRA),"DB:DLG
Company: Dialog Semiconductor Plc
(IQT20184479) - Deutsche Boerse AG (DB)

BMV:DLG N
Company: Dialog Semiconductor Plc
(IQT697508859) - Bolsa Mexicana de Valores (BMV)

LSE:0OLN
Company: Dialog Semiconductor Plc
(IQT38742597) - London Stock Exchange (LSE)"
Dialogue Health Technologies Inc. (TSX:CARE),TSX:CARE,Health Care (Primary),NM, 12.2 , 5.39 ,-,-, 11.1 , (40.7)  , 0.714 , 156.8 ,The Toronto Stock Exchange (TSX),-
Diamant Infrastructure Limited (BSE:508860),BSE:508860,Industrials (Primary),NM, 0.006 , 0.101 ,-,-,-,-,-, 45.2 ,Mumbai Stock Exchange (BSE),-
Diamcor Mining Inc. (TSXV:DMI),TSXV:DMI,Materials (Primary); Materials (Primary),NM, 0.31 ,NM, (50.2)  ,NM, 0.114 , (279.2)  , 0.447 , 133.9 ,-,"DB:DC3A
Company: Diamcor Mining Inc.
(IQT703463305) - Deutsche Boerse AG (DB)"
DiaMedica Therapeutics Inc. (NasdaqCM:DMAC),NasdaqCM:DMAC,Health Care (Primary),NM, 9.63 , 5.93 ,-, (74.0)  , 20.5 ,-,-, 0.452 ,Nasdaq Capital Market (NasdaqCM),"DB:F2KA
Company: DiaMedica Therapeutics Inc.
(IQT332338440) - Deutsche Boerse AG (DB)"
Diamines and Chemicals Limited (BSE:500120),BSE:500120,Materials (Primary); Materials (Primary); Utilities, 13.0 , 4.99 , 3.21 , 17.7 , 28.0 , 9.69 , 42.1 , 0.734 , 0.355 ,Mumbai Stock Exchange (BSE),-
Diamond Building Products Public Company Limited (SET:DRT),SET:DRT,Materials (Primary); Materials (Primary); Industrials, 12.1 , 0.328 , 3.25 , 2.13 , 25.7 , 1.5 , 21.2 , 1.3 , 33.1 ,The Stock Exchange of Thailand (SET),"SET:DRT-R
Company: Diamond Building Products Public Company Limited
(IQT24899180) - The Stock Exchange of Thailand (SET)"
"Diamond Electric Holdings Co., Ltd. (TSE:6699)",TSE:6699,Consumer Discretionary (Primary); Industrials; Information Technology, 195.8 , 33.83 , 2.63 , 6.8 , 1.53 , 1.21 , 6.23 , 1.23 , 81.0 ,The Tokyo Stock Exchange (TSE),-
Diamond Estates Wines & Spirits Inc. (TSXV:DWS),TSXV:DWS,Consumer Staples (Primary); Consumer Discretionary,NM, 0.196 , 1.9 , (9.89)  , (13.6)  , 4.02 , 1.47 , 0.56 , 52.2 ,-,"DB:4WS
Company: Diamond Estates Wines & Spirits Inc.
(IQT561010761) - Deutsche Boerse AG (DB)"
Diamond Fields Resources Inc. (TSXV:DFR),TSXV:DFR,Materials (Primary); Materials (Primary),NM, 0.278 ,NM,-,NM, 0.048 ,-,-,-,-,"DB:D2DA
Company: Diamond Fields Resources Inc.
(IQT24375944) - Deutsche Boerse AG (DB)"
"Diamond Hill Investment Group, Inc. (NasdaqGS:DHIL)",NasdaqGS:DHIL,Financials (Primary), 10.8 , 230.0 , 2.83 , (3.35)  , 27.1 , 5.36 , 29.6 , 0.472 , 1.35 ,Nasdaq Global Select (NasdaqGS),-
Diamond Infosystems Limited (BSE:530801),BSE:530801,Information Technology (Primary),NM,-, 0.578 ,-,-,-,-,-,-,Mumbai Stock Exchange (BSE),-
Diamond Power Infrastructure Limited (BSE:522163),BSE:522163,Industrials (Primary),NM, 0.021 , 0.057 ,-,-,-,-,-,-,Mumbai Stock Exchange (BSE),"NSEI:DIAPOWER
Company: Diamond Power Infrastructure Limited
(IQT113914765) - National Stock Exchange of India (NSEI)"
Diamond S Shipping Inc. (NYSE:DSSI),NYSE:DSSI,Energy (Primary),NM, 13.36 , 0.363 ,-, (4.25)  , 0.766 , 23.9 , 0.291 , 36.4 ,New York Stock Exchange (NYSE),"DB:4R0
Company: Diamond S Shipping Inc.
(IQT662764418) - Deutsche Boerse AG (DB)"
"Diamondback Energy, Inc. (NasdaqGS:FANG)",NasdaqGS:FANG,Energy (Primary),NM, 124.16 , 1.63 , 27.6 , (31.2)  , 0.456 , 40.3 , 0.13 , 37.3 ,Nasdaq Global Select (NasdaqGS),"BOVESPA:F1AN34
Company: Diamondback Energy, Inc.
(IQT648909483) - Bolsa de Valores de Sao Paulo (BOVESPA)

DB:7DB
Company: Diamondback Energy, Inc.
(IQT223346251) - Deutsche Boerse AG (DB)

BMV:FANG *
Company: Diamondback Energy, Inc.
(IQT615688143) - Bolsa Mexicana de Valores (BMV)"
DiamondHead Holdings Corp. (NasdaqCM:DHHC),NasdaqCM:DHHC,Financials (Primary),-, 13.06 ,NM,-,-, 0.06 ,-,-, 84.9 ,Nasdaq Capital Market (NasdaqCM),"DB:7ER
Company: DiamondHead Holdings Corp.
(IQT708498705) - Deutsche Boerse AG (DB)

NasdaqCM:DHHC.U
Company: DiamondHead Holdings Corp.
(IQT700898888) - Nasdaq Capital Market (NasdaqCM)"
DiamondRock Hospitality Company (NYSE:DRH),NYSE:DRH,Real Estate (Primary),NM, 13.04 , 1.37 , (38.1)  , (31.1)  , 6.94 , (49.5)  , 0.091 , 40.4 ,New York Stock Exchange (NYSE),"DB:HBO
Company: DiamondRock Hospitality Company
(IQT22472538) - Deutsche Boerse AG (DB)

NYSE:DRH.PRA
Company: DiamondRock Hospitality Company
(IQT684743869) - New York Stock Exchange (NYSE)"
DiaMonTech AG,-,Health Care (Primary),-,-,-,-, (75.1)  , 10.0 ,-,-,-,-,"DB:3XW
Company: DiaMonTech AG
(IQT643493081) - Deutsche Boerse AG (DB)"
Diamyd Medical AB (publ) (OM:DMYD B),OM:DMYD B,Health Care (Primary), 28.8 , 4.72 , 10.1 , (33.2)  , 48.8 , 9.28 ,-, 0.004 ,-,OMX Nordic Exchange Stockholm (OM),"DB:DMN
Company: Diamyd Medical AB (publ)
(IQT578927368) - Deutsche Boerse AG (DB)"
"Dian Diagnostics Group Co.,Ltd. (SZSE:300244)",SZSE:300244,Health Care (Primary); Financials, 20.8 , 7.96 , 4.59 , 32.4 , 24.6 , 1.56 , 21.9 , 0.92 , 38.7 ,Shenzhen Stock Exchange (SZSE),-
Diana Shipping Inc. (NYSE:DSX),NYSE:DSX,Industrials (Primary),NM, 6.81 , 1.07 , (2.28)  , (7.51)  ,-, 21.1 , 0.175 , 49.5 ,New York Stock Exchange (NYSE),"DB:DSZ
Company: Diana Shipping Inc.
(IQT21823146) - Deutsche Boerse AG (DB)

NYSE:DSX.PRB
Company: Diana Shipping Inc.
(IQT256816258) - New York Stock Exchange (NYSE)"
Diana Tea Company Limited (BSE:530959),BSE:530959,Consumer Staples (Primary), 7.62 , 0.428 , 0.557 , 5.04 , 7.63 , 1.32 , 11.4 , 0.73 , 23.5 ,Mumbai Stock Exchange (BSE),-
"Dianguang Explosion-Proof Technology Co., Ltd. (SZSE:002730)",SZSE:002730,Industrials (Primary), 77.6 , 2.7 , 4.21 , (0.384)  , 5.55 , 2.72 , 12.5 , 0.563 , 6.61 ,Shenzhen Stock Exchange (SZSE),-
DiaSorin S.p.A. (BIT:DIA),BIT:DIA,Health Care (Primary), 29.6 , 251.53 , 8.03 , 14.7 , 29.5 ,-, 44.0 , 0.763 , 3.5 ,Borsa Italiana (BIT),"DB:34D
Company: DiaSorin S.p.A.
(IQT35877293) - Deutsche Boerse AG (DB)

LSE:0GZX
Company: DiaSorin S.p.A.
(IQT38742587) - London Stock Exchange (LSE)"
Diatreme Resources Limited (ASX:DRX),ASX:DRX,Materials (Primary); Materials (Primary),NM, 0.021 , 2.55 , 15.5 , (5.13)  , 2.49 ,-, 0.001 , 6.58 ,Australian Securities Exchange (ASX),-
Dibico Inversiones SICAV S.A. (BME:S0778),BME:S0778,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
DIC Asset AG (XTRA:DIC),XTRA:DIC,Real Estate (Primary), 15.5 , 23.18 , 1.05 , 6.31 , 7.16 , 4.1 , 56.4 , 0.08 , 57.3 ,XETRA Trading Platform (XTRA),"DB:DIC
Company: DIC Asset AG
(IQT244276051) - Deutsche Boerse AG (DB)

SWX:DIC
Company: DIC Asset AG
(IQT252964613) - SIX Swiss Exchange (SWX)

LSE:0QGG
Company: DIC Asset AG
(IQT245535289) - London Stock Exchange (LSE)"
DIC Corporation (TSE:4631),TSE:4631,Materials (Primary); Materials (Primary), 14.5 , 35.28 , 0.801 , (3.77)  , 6.32 , 1.69 , 10.8 , 0.865 , 43.2 ,The Tokyo Stock Exchange (TSE),"DB:DPN
Company: DIC Corporation
(IQT127870247) - Deutsche Boerse AG (DB)"
DIC India Limited (BSE:500089),BSE:500089,Materials (Primary); Materials (Primary), 4.95 , 8.4 , 1.15 , (6.99)  ,-,-, 4.53 , 1.23 , 1.49 ,Mumbai Stock Exchange (BSE),"NSEI:DICIND
Company: DIC India Limited
(IQT46355724) - National Stock Exchange of India (NSEI)"
"Dicerna Pharmaceuticals, Inc. (NasdaqGS:DRNA)",NasdaqGS:DRNA,Health Care (Primary),NM, 49.08 , 22.7 , 310.3 , (79.0)  , 3.26 , (64.5)  , 0.252 , 27.5 ,Nasdaq Global Select (NasdaqGS),"DB:DPL
Company: Dicerna Pharmaceuticals, Inc.
(IQT256500143) - Deutsche Boerse AG (DB)"
"DICK'S Sporting Goods, Inc. (NYSE:DKS)",NYSE:DKS,Consumer Discretionary (Primary), 9.61 , 133.06 , 3.3 , 8.79 , 48.5 , 1.56 , 16.5 , 1.33 , 57.4 ,New York Stock Exchange (NYSE),"DB:DSG
Company: DICK'S Sporting Goods, Inc.
(IQT116001650) - Deutsche Boerse AG (DB)

XTRA:DSG
Company: DICK'S Sporting Goods, Inc.
(IQT47927733) - XETRA Trading Platform (XTRA)"
Dicker Data Limited (ASX:DDR),ASX:DDR,Information Technology (Primary), 31.5 , 10.9 , 11.4 , 15.3 , 44.6 , 1.14 , 4.42 , 3.67 , 43.2 ,Australian Securities Exchange (ASX),"DB:D0D
Company: Dicker Data Limited
(IQT565795659) - Deutsche Boerse AG (DB)"
Dickson Concepts (International) Limited (SEHK:113),SEHK:113,Consumer Discretionary (Primary); Financials; Industrials; Real Estate, 3.9 , 0.794 , 0.556 , (14.5)  , 14.9 , 2.41 , 23.0 , 0.411 , 33.6 ,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Didacmania SICAV S.A. (BME:S4145),BME:S4145,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
Didime Inversiones Sicav SA (BME:S3486),BME:S3486,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
"Diebold Nixdorf, Incorporated (NYSE:DBD)",NYSE:DBD,Information Technology (Primary),NM, 17.07 ,NM, (4.87)  ,NM, 1.1 , 8.59 , 1.05 , 148.1 ,New York Stock Exchange (NYSE),"DB:DBD
Company: Diebold Nixdorf, Incorporated
(IQT20165448) - Deutsche Boerse AG (DB)

SWX:WIN
Company: Diebold Nixdorf, Incorporated
(IQT610724735) - SIX Swiss Exchange (SWX)

XTRA:DBD
Company: Diebold Nixdorf, Incorporated
(IQT111875142) - XETRA Trading Platform (XTRA)"
Dierig Holding AG (XTRA:DIE),XTRA:DIE,Consumer Discretionary (Primary); Real Estate, 15.4 , 24.67 , 1.57 , (5.28)  , 10.7 , 1.2 , 14.7 , 0.477 , 50.5 ,XETRA Trading Platform (XTRA),"DB:DIE
Company: Dierig Holding AG
(IQT20174442) - Deutsche Boerse AG (DB)

LSE:0N8T
Company: Dierig Holding AG
(IQT37874440) - London Stock Exchange (LSE)"
Dietswell S.A. (ENXTPA:ALDOL),ENXTPA:ALDOL,Energy (Primary); Financials; Industrials,NM, 1.92 , 4.87 , (31.0)  , (117.9)  , 2.04 , (72.0)  , 0.414 , 24.9 ,Euronext Paris (ENXTPA),"DB:JPZ
Company: Dietswell S.A.
(IQT32272146) - Deutsche Boerse AG (DB)"
Differ Group Holding Company Limited (SEHK:6878),SEHK:6878,Financials (Primary), 26.2 , 0.299 , 4.29 , 191.9 , 17.9 , 1.13 ,-, 0.861 , 30.7 ,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Diffusion Pharmaceuticals Inc. (NasdaqCM:DFFN),NasdaqCM:DFFN,Health Care (Primary),NM, 1.05 , 1.45 ,-, (45.5)  , 22.4 ,-,-, 0.598 ,Nasdaq Capital Market (NasdaqCM),"DB:DP81
Company: Diffusion Pharmaceuticals Inc.
(IQT606365730) - Deutsche Boerse AG (DB)"
Diggi Multitrade Limited (BSE:540811),BSE:540811,Real Estate (Primary); Consumer Discretionary; Industrials, 247.1 , 0.217 , 1.17 , (72.0)  , 0.467 , 14.1 , 48.9 , 0.009 ,-,Mumbai Stock Exchange (BSE),-
Digi International Inc. (NasdaqGS:DGII),NasdaqGS:DGII,Information Technology (Primary), 69.8 , 27.14 , 1.48 , 15.6 , 2.16 , 4.12 , 12.0 , 0.602 , 17.7 ,Nasdaq Global Select (NasdaqGS),"DB:DGI
Company: Digi International Inc.
(IQT20141200) - Deutsche Boerse AG (DB)"
Digia Oyj (HLSE:DIGIA),HLSE:DIGIA,Information Technology (Primary), 19.1 , 12.26 , 3.27 , 13.7 , 18.7 , 1.0 , 11.9 , 1.18 , 30.7 ,OMX Nordic Exchange Helsinki (HLSE),"LSE:0IKK
Company: Digia Oyj
(IQT38029221) - London Stock Exchange (LSE)"
Digicontent Limited (NSEI:DGCONTENT),NSEI:DGCONTENT,Communication Services (Primary),NM, 0.267 ,NM,-, (505.7)  , 1.67 , 10.6 , 1.38 , 117.7 ,National Stock Exchange of India (NSEI),"BSE:542685
Company: Digicontent Limited
(IQT605318178) - Mumbai Stock Exchange (BSE)"
Digihost Technology Inc. (TSXV:DGHI),TSXV:DGHI,Information Technology (Primary),NM, 1.47 , 1.46 ,-, (17.0)  , 14.9 , (7.07)  , 0.348 , 32.8 ,-,"DB:1NQ1
Company: Digihost Technology Inc.
(IQT655200065) - Deutsche Boerse AG (DB)"
Digilife Technologies Limited (Catalist:BAI),Catalist:BAI,Communication Services (Primary); Consumer Discretionary; Financials; Industrials; Information Technology,NM, 2.11 , 0.696 , (8.89)  , (7.31)  , 2.79 , (0.31)  , 4.27 , 9.99 ,-,"DB:MZZ1
Company: Digilife Technologies Limited
(IQT75161100) - Deutsche Boerse AG (DB)"
Digimarc Corporation (NasdaqGS:DMRC),NasdaqGS:DMRC,Information Technology (Primary),NM, 44.27 , 7.07 , (0.316)  , (53.3)  , 7.13 , (118.9)  , 0.311 , 8.21 ,Nasdaq Global Select (NasdaqGS),-
Diginex Limited (NasdaqCM:EQOS),NasdaqCM:EQOS,Financials (Primary),NM, 8.55 , 5.92 ,-, (933.0)  , 1.3 ,-, 0.023 , 136.5 ,Nasdaq Capital Market (NasdaqCM),"DB:616A
Company: Diginex Limited
(IQT690570163) - Deutsche Boerse AG (DB)"
DiGiSPICE Technologies Limited (BSE:517214),BSE:517214,Information Technology (Primary), 88.3 , 0.803 , 4.2 , 36.4 , 2.52 , 1.16 , 1.8 , 1.5 , 12.3 ,Mumbai Stock Exchange (BSE),"NSEI:DIGISPICE
Company: DiGiSPICE Technologies Limited
(IQT111629968) - National Stock Exchange of India (NSEI)"
Digit Inversiones SICAV S.A. (BME:S0785),BME:S0785,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
Digital 9 Infrastructure PLC (LSE:DGI9),LSE:DGI9,Financials (Primary),-, 2.1 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:6DJ
Company: Digital 9 Infrastructure PLC
(IQT708498765) - Deutsche Boerse AG (DB)"
"Digital Ally, Inc. (NasdaqCM:DGLY)",NasdaqCM:DGLY,Information Technology (Primary); Consumer Staples; Health Care, 2.57 , 2.44 , 1.87 , (3.49)  , 90.6 , 2.72 , (78.8)  , 0.708 , 6.49 ,Nasdaq Capital Market (NasdaqCM),"DB:1DAA
Company: Digital Ally, Inc.
(IQT251940151) - Deutsche Boerse AG (DB)"
Digital Arts Inc. (TSE:2326),TSE:2326,Information Technology (Primary), 59.0 , 104.71 , 11.8 , 10.1 , 22.0 , 2.68 , 56.2 , 0.531 ,-,The Tokyo Stock Exchange (TSE),-
